sample-id	dna-code	seq-well	replicate	treatment	sorted-fraction	sort-type	extraction-date
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
P1Eneg2	a	F04	1	Pmb	EdU-	Y	06-May-21
C1Epos2	b	E04	1	Control	EdU+	Y	06-May-21
C3Eneg2	c	E01	3	Control	EdU-	Y	06-May-21
V2W2	d	C02	2	Van	Whole	Y	06-May-21
C2W2	e	B03	2	Control	Whole	Y	06-May-21
C1Eneg2	f	G02	1	Control	EdU-	Y	06-May-21
V1Eneg2	g	D01	1	Van	EdU-	Y	06-May-21
IST2	h	E03	0	Initial	Initial	Y	06-May-21
C2Eneg2	i	F01	2	Control	EdU-	Y	06-May-21
V2Epos2	j	A02	2	Van	EdU+	Y	06-May-21
V3Eneg2	k	B02	3	Van	EdU-	Y	06-May-21
IUST2	l	G03	0	Initial	Initial	N	06-May-21
V3Epos2	m	F03	3	Van	EdU+	Y	06-May-21
Sheath2	n	D04	4	Sheath	Sheath	Y	06-May-21
P1W2	o	A01	1	Pmb	Whole	Y	06-May-21
P3Epos2	p	D03	3	Pmb	EdU+	Y	07-May-21
C3W2	q	A03	3	Control	Whole	Y	07-May-21
P2W2	r	E02	2	Pmb	Whole	Y	07-May-21
P3W2	s	G01	3	Pmb	Whole	Y	07-May-21
P1Epos2	t	F02	1	Pmb	EdU+	Y	07-May-21
P2Epos2	u	B01	2	Pmb	EdU+	Y	07-May-21
C3Epos2	v	C04	3	Control	EdU+	Y	07-May-21
P2Eneg2	w	H03	2	Pmb	EdU-	Y	07-May-21
V1W2	x	H02	1	Van	Whole	Y	07-May-21
C1W2	y	H01	1	Control	Whole	Y	07-May-21
C2Epos2	z	D02	2	Control	EdU+	Y	07-May-21
P3Eneg2	A	C03	3	Pmb	EdU-	Y	07-May-21
V1Epos2	B	B04	1	Van	EdU+	Y	07-May-21
V3W2	C	C01	3	Van	Whole	Y	07-May-21
V2Eneg2	D	A04	2	Van	EdU-	Y	07-May-21
